x,y
569548.5486283983,6246445.402708422
569548.799066974,6246445.920826852
569548.8647842582,6246446.048854346
569549.0022828858,6246446.301610504
569549.0374255516,6246446.364405315
569549.1809882385,6246446.613862643
569549.2176269162,6246446.675796496
569553.960378127,6246454.477850765
569560.2624440582,6246464.997675502
569560.278072812,6246465.023469066
569560.3411048498,6246465.126326492
569560.3569921148,6246465.15196164
569560.4210517481,6246465.254175058
569560.4371959204,6246465.279649204
569560.502283149,6246465.381218611
569560.5186825912,6246465.4065291695
569570.618582591,6246480.82412917
569570.6319086009,6246480.844293778
569570.6855366764,6246480.924736149
569570.6990247042,6246480.944792726
569570.7532973666,6246481.02479782
569570.7669465496,6246481.044745085
569570.821863799,6246481.124312901
569570.8356732406,6246481.144149544
569580.6769773703,6246495.159992538
569587.3952858823,6246508.921048552
569593.8946942829,6246523.721325294
569599.2639708215,6246546.790174424
569601.8785502027,6246570.090386034
569602.8601215052,6246610.598095258
569602.860202153,6246610.601350502
569602.8605318104,6246610.614371282
569602.8606159914,6246610.617626429
569602.8609597826,6246610.630646883
569602.8610474977,6246610.633901977
569602.8614054229,6246610.646922103
569602.8614966703,6246610.650177072
569603.6673707578,6246638.850846657
569602.7092885729,6246660.374442465
569599.0880486467,6246694.410120672
569599.0850953802,6246694.439226398
569599.0738502494,6246694.555704148
569599.0711809505,6246694.584837295
569599.0610726804,6246694.701413624
569599.0586876035,6246694.730571419
569599.0497161942,6246694.847246327
569599.0476155664,6246694.876425987
569597.1933155666,6246722.515425988
569597.1899220484,6246722.574819193
569597.1787047312,6246722.812503244
569597.1764895909,6246722.871952063
569597.1699888066,6246723.1097650435
569597.1689529155,6246723.169246098
569597.1671686639,6246723.407188009
569597.1673124293,6246723.466677909
569597.5810124287,6246757.0123779075
569597.5816817883,6246757.048759145
569597.5852416574,6246757.1942625
569597.5863522325,6246757.23063294
569597.5916762449,6246757.376071715
569597.5932278718,6246757.41242601
569597.6003160273,6246757.557800203
569597.6023084781,6246757.594133005
569599.4004084783,6246787.108033005
569599.4008450137,6246787.115157654
569601.4427135908,6246820.08605369
569602.5011082095,6246851.968610696
569602.4410350018,6246876.292603673
569602.2194380253,6246879.461227529
569602.2151174686,6246879.536637249
569602.2016349812,6246879.838445872
569602.1992142942,6246879.913940463
569602.1933362179,6246880.215897118
569602.1941993852,6246880.3669494605
569602.2128565004,6246880.970688977
569602.2213218906,6246881.121506393
569602.2458334316,6246881.422523931
569602.2618795824,6246881.572724052
569602.3411443438,6246882.171528354
569602.3647305737,6246882.3207303835
569602.4193833147,6246882.617758078
569602.4504498258,6246882.765583743
569602.5895189071,6246883.353384117
569602.6279869366,6246883.499458638
569602.7122269878,6246883.789486201
569602.7579990095,6246883.933439241
569602.9554629896,6246884.5042785145
569603.0084229581,6246884.645745111
569603.1213965715,6246884.925833196
569603.1814102167,6246885.064454688
569603.4352678517,6246885.612547558
569603.502183024,6246885.747972501
569603.6427452448,6246886.0152825
569603.7163922937,6246886.147167554
569604.0240708098,6246886.666959261
569604.104263019,6246886.79497006
569604.2709892902,6246887.046792862
569604.3575233504,6246887.170604863
569604.7159045181,6246887.656827475
569604.8085610418,6246887.77612678
569604.9997616413,6246888.009910235
569605.0983057169,6246888.124394385
569605.5037574496,6246888.5721201785
569605.6079392403,6246888.681498925
569605.8216764056,6246888.894873707
569605.8757994475,6246888.947561374
569606.0949101995,6246889.155553446
569606.1503425335,6246889.206861815
569610.2517425335,6246892.908361816
569610.2997928023,6246892.950804264
569610.4937858435,6246893.118501102
569610.5427320953,6246893.159907072
569610.7402192473,6246893.32338283
569610.8407098788,6246893.40301017
569611.2492935458,6246893.712786506
569611.3530947478,6246893.788047333
569611.5638181184,6246893.934065003
569611.6169011574,6246893.970014695
569611.8307454943,6246894.11152838
569611.8845846239,6246894.14633553
569627.0612846236,6246903.72973553
569627.094407265,6246903.750350953
569627.2274284126,6246903.831947676
569627.2608163451,6246903.852130614
569627.3948760456,6246903.931983829
569627.4285236413,6246903.95173088
569627.5636218948,6246904.029840584
569627.5975234258,6246904.049148385
569641.7190234262,6246911.970548385
569641.7248867954,6246911.973828793
569641.7483551328,6246911.986924254
569641.7542259323,6246911.990191577
569641.7777233687,6246912.003234352
569641.7836013566,6246912.006488455
569641.8071278918,6246912.0194785455
